,Winter_f,Spring_f,Summer_f,Fall_f
bcc-csm1-1-m,4.1820868533973545,7.032130902971828,7.996437675276045,8.9486466884403
bcc-csm1-1,4.744171293319923,7.275021962004928,6.705683122840607,9.87726166816051
BNU-ESM,4.543969474309187,8.469238708776432,7.138214406345792,7.557813125236333
CanESM2,3.473172276623801,7.331822035125635,9.166070009856167,7.482451965761128
CCSM4,3.8470249353548587,7.960304963479241,9.664697603852792,7.894737037171109
CNRM-CM5,4.48952373371596,8.001458090815992,8.57108629172147,6.362438038831653
CSIRO-Mk3-6-0,4.151565820684431,7.152339878352032,9.690673948902287,7.304570096742456
GFDL-ESM2G,3.0875981097120655,6.936358289383388,8.298942056763124,7.012374486465155
GFDL-ESM2M,4.78790073764449,7.99808223902433,8.787947308297046,8.284094860715491
HadGEM2-CC365,3.486982910340707,7.669783952915029,9.25954597785184,6.874823158064388
HadGEM2-ES365,4.129041824134575,7.740175845762082,7.080863571488814,8.069141873778502
inmcm4,3.5340256779818264,7.703938507754938,9.347015390988451,8.233507601574912
IPSL-CM5A-LR,3.6783285141067426,5.9904975166540435,7.229444796983755,7.4617532073952315
IPSL-CM5A-MR,4.572074702212634,7.813314040077672,9.458407267004159,7.951791227523057
IPSL-CM5B-LR,4.599543067523367,8.851508146270865,8.78391249055663,8.537143176693899
MIROC-ESM-CHEM,3.8047318384702282,7.336675828293151,6.511696922226682,7.575317897482836
MIROC-ESM,4.221916296111245,8.700012570903167,11.087083080544412,8.533421404041434
MIROC5,4.539337022760959,7.569839781147574,8.957000206902004,6.090354341687812
MRI-CGCM3,3.560451767171149,8.046641748335151,9.152058428361654,8.178559505576487
NorESM1-M,4.61769647444983,8.274577299132442,9.43559146421489,7.1557978028349
