macamodel,rcp,zone,period,annual mean P (in)
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,29.955492654044985
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,28.48554172556432
BNU-ESM,rcp45,Recharge Zone,1971-2000,28.333359035763067
CanESM2,rcp45,Recharge Zone,1971-2000,28.065702388194037
CCSM4,rcp45,Recharge Zone,1971-2000,28.975195466743134
CNRM-CM5,rcp45,Recharge Zone,1971-2000,27.986910235625775
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,29.08583415786159
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,27.933866210553244
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,29.37034747247015
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,28.676162199003404
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,29.363179903309273
inmcm4,rcp45,Recharge Zone,1971-2000,29.137836758738246
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,27.86298718393988
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,27.509459524965852
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,27.763899303899706
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,28.531813216339668
MIROC-ESM,rcp45,Recharge Zone,1971-2000,29.05540640379617
MIROC5,rcp45,Recharge Zone,1971-2000,26.498034625972828
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,28.104919664935995
NorESM1-M,rcp45,Recharge Zone,1971-2000,28.47822603244333
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,29.955492654044985
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,28.48554172556432
BNU-ESM,rcp85,Recharge Zone,1971-2000,28.333359035763067
CanESM2,rcp85,Recharge Zone,1971-2000,28.065702388194037
CCSM4,rcp85,Recharge Zone,1971-2000,28.975195466743134
CNRM-CM5,rcp85,Recharge Zone,1971-2000,27.986910235625775
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,29.08583415786159
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,27.933866210553244
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,29.37034747247015
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,28.676162199003404
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,29.363179903309273
inmcm4,rcp85,Recharge Zone,1971-2000,29.137836758738246
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,27.86298718393988
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,27.509459524965852
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,27.763899303899706
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,28.531813216339668
MIROC-ESM,rcp85,Recharge Zone,1971-2000,29.05540640379617
MIROC5,rcp85,Recharge Zone,1971-2000,26.498034625972828
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,28.104919664935995
NorESM1-M,rcp85,Recharge Zone,1971-2000,28.47822603244333
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,31.507027483155188
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,30.193749304935245
BNU-ESM,rcp45,Contributing Zone,1971-2000,29.533705152337124
CanESM2,rcp45,Contributing Zone,1971-2000,29.789343822238
CCSM4,rcp45,Contributing Zone,1971-2000,30.711010351884376
