macamodel,rcp,zone,period,season,seasonal mean P (in)
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,Winter,4.260912192856145
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,Winter,4.591352387384674
BNU-ESM,rcp45,Recharge Zone,1971-2000,Winter,4.392601472290547
CanESM2,rcp45,Recharge Zone,1971-2000,Winter,4.165369171192949
CCSM4,rcp45,Recharge Zone,1971-2000,Winter,4.129583036574684
CNRM-CM5,rcp45,Recharge Zone,1971-2000,Winter,4.379625868267773
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,Winter,4.406933104915214
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,Winter,3.949632842384
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,Winter,4.2157249141307105
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,Winter,4.3657107745684876
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,Winter,4.621997975455592
inmcm4,rcp45,Recharge Zone,1971-2000,Winter,4.660228420328099
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,Winter,4.284597304772889
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,Winter,4.15812952776406
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,Winter,4.354613730531129
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,Winter,4.1289978192571875
MIROC-ESM,rcp45,Recharge Zone,1971-2000,Winter,4.160831118174058
MIROC5,rcp45,Recharge Zone,1971-2000,Winter,3.9041132031126495
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,Winter,4.329600877860052
NorESM1-M,rcp45,Recharge Zone,1971-2000,Winter,4.4687916581882545
bcc-csm1-1-m,rcp45,Recharge Zone,1950-2005,Winter,4.2055423567666805
bcc-csm1-1,rcp45,Recharge Zone,1950-2005,Winter,4.242220334827696
BNU-ESM,rcp45,Recharge Zone,1950-2005,Winter,4.2542614312252605
CanESM2,rcp45,Recharge Zone,1950-2005,Winter,4.202306782934552
CCSM4,rcp45,Recharge Zone,1950-2005,Winter,4.177659596630358
CNRM-CM5,rcp45,Recharge Zone,1950-2005,Winter,4.222261733238214
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,Winter,4.213740436703436
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,Winter,4.143720735513298
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,Winter,4.194166348231332
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,Winter,4.192430320548181
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,Winter,4.111936046730283
inmcm4,rcp45,Recharge Zone,1950-2005,Winter,4.2594088000573365
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,Winter,4.265686888641361
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,Winter,4.253778330298662
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,Winter,4.183190052835811
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,Winter,4.198408206147672
MIROC-ESM,rcp45,Recharge Zone,1950-2005,Winter,4.216515820853347
MIROC5,rcp45,Recharge Zone,1950-2005,Winter,4.221881827102495
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,Winter,4.1919425340628615
NorESM1-M,rcp45,Recharge Zone,1950-2005,Winter,4.20045397868132
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,Winter,4.1820868533973545
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,Winter,4.744171293319923
BNU-ESM,rcp45,Recharge Zone,2010-2039,Winter,4.543969474309187
CanESM2,rcp45,Recharge Zone,2010-2039,Winter,3.473172276623801
CCSM4,rcp45,Recharge Zone,2010-2039,Winter,3.8470249353548587
CNRM-CM5,rcp45,Recharge Zone,2010-2039,Winter,4.48952373371596
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,Winter,4.151565820684431
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,Winter,3.0875981097120655
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,Winter,4.78790073764449
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,Winter,3.486982910340707
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,Winter,4.129041824134575
inmcm4,rcp45,Recharge Zone,2010-2039,Winter,3.5340256779818264
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,Winter,3.6783285141067426
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,Winter,4.572074702212634
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,Winter,4.599543067523367
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,Winter,3.8047318384702282
MIROC-ESM,rcp45,Recharge Zone,2010-2039,Winter,4.221916296111245
MIROC5,rcp45,Recharge Zone,2010-2039,Winter,4.539337022760959
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,Winter,3.560451767171149
NorESM1-M,rcp45,Recharge Zone,2010-2039,Winter,4.61769647444983
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,Winter,4.6862718965226
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,Winter,4.643336705283905
BNU-ESM,rcp45,Recharge Zone,2040-2069,Winter,4.3540910821514505
CanESM2,rcp45,Recharge Zone,2040-2069,Winter,3.3740076553160003
CCSM4,rcp45,Recharge Zone,2040-2069,Winter,3.6014787478740597
CNRM-CM5,rcp45,Recharge Zone,2040-2069,Winter,4.424361327535614
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2040-2069,Winter,4.5864344725710495
GFDL-ESM2G,rcp45,Recharge Zone,2040-2069,Winter,3.4166145856923285
GFDL-ESM2M,rcp45,Recharge Zone,2040-2069,Winter,4.148413724818492
HadGEM2-CC365,rcp45,Recharge Zone,2040-2069,Winter,4.1260324065642715
HadGEM2-ES365,rcp45,Recharge Zone,2040-2069,Winter,4.802203231446302
