macamodel,rcp,zone,period,annual mean T(oC)
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,19.59500514571608
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,19.570655263668964
BNU-ESM,rcp45,Recharge Zone,1971-2000,19.735090701533945
CanESM2,rcp45,Recharge Zone,1971-2000,19.632558079687932
CCSM4,rcp45,Recharge Zone,1971-2000,19.76452208929223
CNRM-CM5,rcp45,Recharge Zone,1971-2000,19.580835768219774
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,19.379027633162274
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,19.6419745122572
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,19.51941717549079
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,19.432791952095364
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,19.323408432504213
inmcm4,rcp45,Recharge Zone,1971-2000,19.60875060997701
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,19.816189440281512
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,19.664652935184836
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,19.637993081686957
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,19.550053410046257
MIROC-ESM,rcp45,Recharge Zone,1971-2000,19.575995299114428
MIROC5,rcp45,Recharge Zone,1971-2000,19.711813750415562
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,19.556592898212582
NorESM1-M,rcp45,Recharge Zone,1971-2000,19.45395980650069
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,19.59500514571608
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,19.570655263668964
BNU-ESM,rcp85,Recharge Zone,1971-2000,19.735090701533945
CanESM2,rcp85,Recharge Zone,1971-2000,19.632558079687932
CCSM4,rcp85,Recharge Zone,1971-2000,19.76452208929223
CNRM-CM5,rcp85,Recharge Zone,1971-2000,19.580835768219774
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,19.379027633162274
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,19.6419745122572
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,19.51941717549079
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,19.432791952095364
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,19.323408432504213
inmcm4,rcp85,Recharge Zone,1971-2000,19.60875060997701
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,19.816189440281512
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,19.664652935184836
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,19.637993081686957
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,19.550053410046257
MIROC-ESM,rcp85,Recharge Zone,1971-2000,19.575995299114428
MIROC5,rcp85,Recharge Zone,1971-2000,19.711813750415562
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,19.556592898212582
NorESM1-M,rcp85,Recharge Zone,1971-2000,19.45395980650069
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,18.533034295026184
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,18.511940190367657
BNU-ESM,rcp45,Contributing Zone,1971-2000,18.67510366610791
CanESM2,rcp45,Contributing Zone,1971-2000,18.570954333390826
CCSM4,rcp45,Contributing Zone,1971-2000,18.70361271999419
CNRM-CM5,rcp45,Contributing Zone,1971-2000,18.52069479510077
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1971-2000,18.321233566743633
GFDL-ESM2G,rcp45,Contributing Zone,1971-2000,18.586687156351513
GFDL-ESM2M,rcp45,Contributing Zone,1971-2000,18.463493494300447
HadGEM2-CC365,rcp45,Contributing Zone,1971-2000,18.373083311050376
HadGEM2-ES365,rcp45,Contributing Zone,1971-2000,18.26932354817052
inmcm4,rcp45,Contributing Zone,1971-2000,18.555161799621246
