macamodel,rcp,zone,period,season,seasonal mean T (oC)
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,Winter,10.647189260969792
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,Winter,10.29406751885186
BNU-ESM,rcp45,Recharge Zone,1971-2000,Winter,10.82277198719751
CanESM2,rcp45,Recharge Zone,1971-2000,Winter,10.62694404348896
CCSM4,rcp45,Recharge Zone,1971-2000,Winter,10.819901761567955
CNRM-CM5,rcp45,Recharge Zone,1971-2000,Winter,10.51094631288759
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,Winter,10.112011873429577
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,Winter,10.53943203102486
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,Winter,10.54714345527005
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,Winter,10.28346166565553
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,Winter,10.191442376296232
inmcm4,rcp45,Recharge Zone,1971-2000,Winter,10.569746599614502
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,Winter,10.755055554937831
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,Winter,10.600017398322821
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,Winter,10.543941015802075
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,Winter,10.504550288651709
MIROC-ESM,rcp45,Recharge Zone,1971-2000,Winter,10.68910542374064
MIROC5,rcp45,Recharge Zone,1971-2000,Winter,10.640111713199088
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,Winter,10.456885649309521
NorESM1-M,rcp45,Recharge Zone,1971-2000,Winter,10.444875765125921
bcc-csm1-1-m,rcp45,Recharge Zone,1950-2005,Winter,10.514067224933084
bcc-csm1-1,rcp45,Recharge Zone,1950-2005,Winter,10.533150275122624
BNU-ESM,rcp45,Recharge Zone,1950-2005,Winter,10.509154655680117
CanESM2,rcp45,Recharge Zone,1950-2005,Winter,10.51946616133634
CCSM4,rcp45,Recharge Zone,1950-2005,Winter,10.551328465392245
CNRM-CM5,rcp45,Recharge Zone,1950-2005,Winter,10.546030999307513
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,Winter,10.524573318345444
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,Winter,10.583099064445548
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,Winter,10.560767657851553
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,Winter,10.487012792710841
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,Winter,10.513858932559705
inmcm4,rcp45,Recharge Zone,1950-2005,Winter,10.598794784490726
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,Winter,10.528535621680735
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,Winter,10.505640684849865
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,Winter,10.544931449555106
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,Winter,10.562916543543208
MIROC-ESM,rcp45,Recharge Zone,1950-2005,Winter,10.550564720593822
MIROC5,rcp45,Recharge Zone,1950-2005,Winter,10.52765178037601
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,Winter,10.551376548084244
NorESM1-M,rcp45,Recharge Zone,1950-2005,Winter,10.496671901867549
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,Winter,11.702880878139958
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,Winter,11.311134696549754
BNU-ESM,rcp45,Recharge Zone,2010-2039,Winter,11.826832771999888
CanESM2,rcp45,Recharge Zone,2010-2039,Winter,11.986057546880112
CCSM4,rcp45,Recharge Zone,2010-2039,Winter,11.80071796633693
CNRM-CM5,rcp45,Recharge Zone,2010-2039,Winter,11.562050167940315
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,Winter,11.617424871565138
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,Winter,12.29136073110031
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,Winter,10.993206590389658
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,Winter,12.237622492217898
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,Winter,11.481644453291407
inmcm4,rcp45,Recharge Zone,2010-2039,Winter,10.973495075531426
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,Winter,12.006073291895035
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,Winter,12.377488400094903
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,Winter,11.680499389141536
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,Winter,11.536319501275925
MIROC-ESM,rcp45,Recharge Zone,2010-2039,Winter,11.49954532993316
MIROC5,rcp45,Recharge Zone,2010-2039,Winter,11.530328360066028
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,Winter,11.36714493745699
NorESM1-M,rcp45,Recharge Zone,2010-2039,Winter,11.013484659532189
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,Winter,12.34169063502637
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,Winter,11.842100578057515
