,1971-2000,1950-2005,2010-2039,2040-2069,2070-2099,rcp,zone
bcc-csm1-1-m,29.955492654044985,28.283991419230926,28.15930212008553,29.484620085879328,26.480358560747366,rcp45,Recharge Zone
bcc-csm1-1,28.48554172556432,28.262388141774046,28.602138046325962,28.123038041943815,26.128741724790856,rcp45,Recharge Zone
BNU-ESM,28.333359035763067,28.275812180840315,27.70923571466775,27.50962323836505,24.672045921115515,rcp45,Recharge Zone
CanESM2,28.065702388194037,28.267860729466314,27.45351628736673,27.098285250431033,29.380514858200463,rcp45,Recharge Zone
CCSM4,28.975195466743134,28.267217795935593,29.366764539857996,28.212283843319778,28.4300890696858,rcp45,Recharge Zone
CNRM-CM5,27.986910235625775,28.27039039801726,27.42450615508508,29.677851218124356,29.613317786260698,rcp45,Recharge Zone
CSIRO-Mk3-6-0,29.08583415786159,28.282551474761583,28.2991497446812,33.226517888435545,31.585675851501055,rcp45,Recharge Zone
GFDL-ESM2G,27.933866210553244,28.263353770237256,25.335272942323734,25.029192539747847,25.28514796333183,rcp45,Recharge Zone
GFDL-ESM2M,29.37034747247015,28.283335442830612,29.858025145681353,30.48467440832812,30.43629903377754,rcp45,Recharge Zone
HadGEM2-CC365,28.676162199003404,28.273239043523464,27.291135999171956,29.133849656375244,26.84345153323243,rcp45,Recharge Zone
HadGEM2-ES365,29.363179903309273,28.286105773684888,27.019223115163975,26.79713986543829,31.67298297124328,rcp45,Recharge Zone
inmcm4,29.137836758738246,28.260549739985436,28.818487178300128,30.569956083202467,32.20008592925782,rcp45,Recharge Zone
IPSL-CM5A-LR,27.86298718393988,28.285057972764488,24.36002403513977,23.3229228064487,24.660118844371716,rcp45,Recharge Zone
IPSL-CM5A-MR,27.509459524965852,28.27616819488474,29.795587236817507,21.63197787725878,22.19461165588132,rcp45,Recharge Zone
IPSL-CM5B-LR,27.763899303899706,28.264910353698724,30.772106881044763,32.10544540084125,32.26738626043476,rcp45,Recharge Zone
MIROC-ESM-CHEM,28.531813216339668,28.284613613787595,25.228422486472894,28.103081695779416,28.54756213943894,rcp45,Recharge Zone
MIROC-ESM,29.05540640379617,28.27803457735584,32.54243335160026,31.39845389746432,30.288842270419853,rcp45,Recharge Zone
MIROC5,26.498034625972828,28.28311552808634,27.15653135249835,28.15955682164173,31.24878537169416,rcp45,Recharge Zone
