,1971-2000,1950-2005,2010-2039,2040-2069,2070-2099,rcp,zone
bcc-csm1-1-m,19.59500514571608,19.5708322397113,20.72952930890945,21.20942822862764,21.427336872473646,rcp45,Recharge Zone
bcc-csm1-1,19.570655263668964,19.57043287771778,20.773101647558256,21.437886461445277,21.566136211649994,rcp45,Recharge Zone
BNU-ESM,19.735090701533945,19.569961397191594,21.100689366500433,22.309710717842982,22.94849698985603,rcp45,Recharge Zone
CanESM2,19.632558079687932,19.571583605668746,21.364102176082245,22.339741050371913,22.815367856143652,rcp45,Recharge Zone
CCSM4,19.76452208929223,19.567446598128253,20.932673388267315,21.49479354066828,22.039988983664465,rcp45,Recharge Zone
CNRM-CM5,19.580835768219774,19.57035177106395,20.505050041046154,21.23374346807365,21.741678602101388,rcp45,Recharge Zone
CSIRO-Mk3-6-0,19.379027633162274,19.570175694352695,20.869999109438496,21.893016190316928,22.51238974371119,rcp45,Recharge Zone
GFDL-ESM2G,19.6419745122572,19.567516367946435,21.34190066384072,21.734768637472442,21.852853872192625,rcp45,Recharge Zone
GFDL-ESM2M,19.51941717549079,19.56868477495326,20.411235113024176,21.226014323607732,21.359963980099312,rcp45,Recharge Zone
HadGEM2-CC365,19.432791952095364,19.572605078981177,21.216050232308394,22.276923511528747,22.862033409235412,rcp45,Recharge Zone
HadGEM2-ES365,19.323408432504213,19.571624008370275,20.99748703077761,22.37000734786271,22.671636889258235,rcp45,Recharge Zone
inmcm4,19.60875060997701,19.57001898606618,20.127210494121062,20.640611019907144,20.982293608445225,rcp45,Recharge Zone
IPSL-CM5A-LR,19.816189440281512,19.569979167844387,21.4093304724101,22.262814767326883,22.732678142386842,rcp45,Recharge Zone
IPSL-CM5A-MR,19.664652935184836,19.566329091341938,21.11753301277763,22.600497944622294,23.12133293628063,rcp45,Recharge Zone
IPSL-CM5B-LR,19.637993081686957,19.569762493632886,20.624523478695654,21.16563086753624,21.69781212888949,rcp45,Recharge Zone
MIROC-ESM-CHEM,19.550053410046257,19.57051946121043,21.197735130007597,22.264975963688176,22.853346527482696,rcp45,Recharge Zone
MIROC-ESM,19.575995299114428,19.565879253706832,20.68193881841368,21.977436859953535,22.72301424360067,rcp45,Recharge Zone
MIROC5,19.711813750415562,19.5736632045018,21.107065142573727,22.19452796358644,22.548299639077495,rcp45,Recharge Zone
