,2010-2039,2040-2069,2070-2099,rcp,zone
bcc-csm1-1-m,94.00380239209017,98.42809272541851,88.39900871125096,rcp45,Recharge Zone
bcc-csm1-1,100.40931754742442,98.72741165636609,91.72632901463005,rcp45,Recharge Zone
BNU-ESM,97.79721380614444,97.09269982299566,87.07773014125804,rcp45,Recharge Zone
CanESM2,97.81873942665042,96.55302716325407,104.68476595319243,rcp45,Recharge Zone
CCSM4,101.3513940693318,97.3670181990696,98.1187136504981,rcp45,Recharge Zone
CNRM-CM5,97.99047456183717,106.0418994746555,105.8113151360474,rcp45,Recharge Zone
CSIRO-Mk3-6-0,97.295300492636,114.23608382039396,108.59470517528129,rcp45,Recharge Zone
GFDL-ESM2G,90.69733760216916,89.60160527400238,90.51789599314132,rcp45,Recharge Zone
GFDL-ESM2M,101.6604423004131,103.79405431584514,103.62934610258372,rcp45,Recharge Zone
HadGEM2-CC365,95.17011310572242,101.59605547700434,93.60894023038178,rcp45,Recharge Zone
HadGEM2-ES365,92.01736053157809,91.26102810962314,107.8663246812505,rcp45,Recharge Zone
inmcm4,98.90400381098179,104.91498163134824,110.50952819824973,rcp45,Recharge Zone
IPSL-CM5A-LR,87.42789807253975,83.70575147768774,88.5049355317714,rcp45,Recharge Zone
IPSL-CM5A-MR,108.31033306843744,78.63468876088591,80.67992624769269,rcp45,Recharge Zone
IPSL-CM5B-LR,110.83496069560563,115.63737877529232,116.22065729039184,rcp45,Recharge Zone
MIROC-ESM-CHEM,88.42207922497201,98.49735620617787,100.05519776461405,rcp45,Recharge Zone
MIROC-ESM,112.00130157996517,108.0640671863465,104.24511655243111,rcp45,Recharge Zone
MIROC5,102.48507761356791,106.27036011961548,117.92869098700906,rcp45,Recharge Zone
MRI-CGCM3,102.96315305091387,113.59272784407881,112.04663121514051,rcp45,Recharge Zone
NorESM1-M,103.5305464850349,91.86300193579326,100.46403350686151,rcp45,Recharge Zone
bcc-csm1-1-m,94.93159691844568,94.26817730753169,94.25608184151768,rcp85,Recharge Zone
bcc-csm1-1,107.101783124201,99.63253644363168,97.05426127219621,rcp85,Recharge Zone
BNU-ESM,96.50308663325633,92.98120223911096,89.03862250126829,rcp85,Recharge Zone
CanESM2,103.28440301322766,102.25516439265003,103.07260402647233,rcp85,Recharge Zone
