,2010-2039,2040-2069,2070-2099,rcp,zone
bcc-csm1-1-m,105.7898640738117,108.2389520742969,109.35101426680747,rcp45,Recharge Zone
bcc-csm1-1,106.14412940031454,109.54097434459769,110.1962909319927,rcp45,Recharge Zone
BNU-ESM,106.91964727002923,113.04589908020499,116.28270341859799,rcp45,Recharge Zone
CanESM2,108.81975792133673,113.78925232104552,116.21189538080976,rcp45,Recharge Zone
CCSM4,105.91034427089916,108.75443101310024,111.51288598880417,rcp45,Recharge Zone
CNRM-CM5,104.71999399702032,108.44145632709197,111.03549848157512,rcp45,Recharge Zone
CSIRO-Mk3-6-0,107.69373729425311,112.9727280684228,116.16883039676853,rcp45,Recharge Zone
GFDL-ESM2G,108.65455838221717,110.65470339506487,111.25589160374771,rcp45,Recharge Zone
GFDL-ESM2M,104.5688758507256,108.74307430787329,109.42931229995725,rcp45,Recharge Zone
HadGEM2-CC365,109.17654181966758,114.63573307656758,117.6466740630663,rcp45,Recharge Zone
HadGEM2-ES365,108.66347468729897,115.76636402423584,117.32731815119072,rcp45,Recharge Zone
inmcm4,102.64402304081656,105.26224454813106,107.00474510481739,rcp45,Recharge Zone
IPSL-CM5A-LR,108.03959326756394,112.34659839329137,114.71770700867853,rcp45,Recharge Zone
IPSL-CM5A-MR,107.38828232759319,114.92955415543855,117.57813886921417,rcp45,Recharge Zone
IPSL-CM5B-LR,105.02358053037845,107.77899136380617,110.48894883827704,rcp45,Recharge Zone
MIROC-ESM-CHEM,108.42801646319104,113.88703394665302,116.8965938258714,rcp45,Recharge Zone
MIROC-ESM,105.64948807149173,112.26727695908131,116.07590774517915,rcp45,Recharge Zone
MIROC5,107.07824967212238,112.59505718046134,114.38977622544823,rcp45,Recharge Zone
MRI-CGCM3,103.00068882849634,106.51702931408373,107.70206751069213,rcp45,Recharge Zone
NorESM1-M,105.78955607103407,113.33125180885861,114.64026558888627,rcp45,Recharge Zone
bcc-csm1-1-m,105.72895934198337,112.55858677311686,118.72024625618877,rcp85,Recharge Zone
bcc-csm1-1,105.85891976580804,113.57338692495975,121.26427892309466,rcp85,Recharge Zone
BNU-ESM,107.71748599368878,117.66284542815227,126.53221938788144,rcp85,Recharge Zone
CanESM2,108.40592456164109,117.40709612878663,126.7999368945881,rcp85,Recharge Zone
CCSM4,106.07778561844994,112.86483551752407,120.3373026012607,rcp85,Recharge Zone
CNRM-CM5,103.78100653036012,112.40513839216509,120.73970691867433,rcp85,Recharge Zone
CSIRO-Mk3-6-0,108.82907498128844,115.22150076793778,127.57760651392638,rcp85,Recharge Zone
GFDL-ESM2G,107.99796352971973,114.18019594463456,120.69715704524747,rcp85,Recharge Zone
GFDL-ESM2M,105.0534716845886,111.56962712185687,120.32830734681612,rcp85,Recharge Zone
HadGEM2-CC365,111.30688080088203,117.98725246408164,129.12778896594824,rcp85,Recharge Zone
HadGEM2-ES365,111.34815282634176,119.79700694910017,128.44141686453634,rcp85,Recharge Zone
inmcm4,103.40249731462062,109.24096782665629,118.43896701869807,rcp85,Recharge Zone
IPSL-CM5A-LR,106.31444512881998,115.30630403848869,129.50461176076362,rcp85,Recharge Zone
IPSL-CM5A-MR,109.39536358482613,119.11734526736086,132.68595497499925,rcp85,Recharge Zone
IPSL-CM5B-LR,105.05126694802485,112.05427739365763,118.96065181274504,rcp85,Recharge Zone
MIROC-ESM-CHEM,107.50771647039868,117.14562107715902,129.96129402292823,rcp85,Recharge Zone
MIROC-ESM,105.63190570768309,114.5494646250994,127.04211493413943,rcp85,Recharge Zone
MIROC5,106.96039010967718,115.21088079468514,125.39833629040005,rcp85,Recharge Zone
MRI-CGCM3,103.17522051716774,110.97713659467234,118.64094230197881,rcp85,Recharge Zone
NorESM1-M,109.25717704034963,116.54756445114451,125.66159057903357,rcp85,Recharge Zone
bcc-csm1-1-m,106.18528539812684,108.80897529928137,110.04790697897621,rcp45,Contributing Zone
bcc-csm1-1,106.52482626119459,110.1985571435054,110.8658150535749,rcp45,Contributing Zone
BNU-ESM,107.41541516505089,113.6468133182288,117.09771395056372,rcp45,Contributing Zone
CanESM2,109.39100300917812,114.63504895352928,117.23278575583163,rcp45,Contributing Zone
CCSM4,106.1318245111557,109.1858852979239,112.15790563149075,rcp45,Contributing Zone
CNRM-CM5,104.99443963173987,108.97020047359914,111.78677837679191,rcp45,Contributing Zone
CSIRO-Mk3-6-0,108.18507067961798,113.81848566516022,117.16997286499632,rcp45,Contributing Zone
GFDL-ESM2G,109.15057607678793,111.34153383741818,111.95802955070971,rcp45,Contributing Zone
GFDL-ESM2M,104.85565119119087,109.27202062874694,110.00253073161007,rcp45,Contributing Zone
HadGEM2-CC365,109.65702659160024,115.38896764606359,118.58156969379804,rcp45,Contributing Zone
HadGEM2-ES365,109.2283331902387,116.65500005556349,118.27876953100483,rcp45,Contributing Zone
