,Percent_winter,Percent_spring,Percent_summer,Percent_fall,period,rcp,zone
bcc-csm1-1-m,109.9152141592908,106.68202844859556,104.32341895912135,104.74177272931873,2010-2039,rcp45,Recharge Zone
bcc-csm1-1,109.88012926702983,106.9629826691858,106.32708698532167,103.17337336583203,2010-2039,rcp45,Recharge Zone
BNU-ESM,109.27729777537678,104.18851758864642,106.52167770666325,108.93420072735742,2010-2039,rcp45,Recharge Zone
CanESM2,112.78931645663334,106.96289684178906,107.48140896274208,110.4248200719503,2010-2039,rcp45,Recharge Zone
CCSM4,109.06492707958597,106.50512777723866,104.01177894229146,106.24746942979574,2010-2039,rcp45,Recharge Zone
CNRM-CM5,110.00008775388714,104.81713077860294,102.44590747313696,105.01303078827358,2010-2039,rcp45,Recharge Zone
CSIRO-Mk3-6-0,114.88737371928133,107.29589896291947,105.23029535198403,107.86036147683902,2010-2039,rcp45,Recharge Zone
GFDL-ESM2G,116.62261016455449,109.75862910609095,105.74281497311333,107.44055741334539,2010-2039,rcp45,Recharge Zone
GFDL-ESM2M,104.22923170630362,103.9452371222209,104.22616099637794,105.84814975423038,2010-2039,rcp45,Recharge Zone
HadGEM2-CC365,119.00294754915876,106.35766244547928,105.67537604685722,111.78957985999607,2010-2039,rcp45,Recharge Zone
HadGEM2-ES365,112.65966120748514,107.28344149563974,107.06037038348559,110.21514852267865,2010-2039,rcp45,Recharge Zone
inmcm4,103.81985009869253,104.02391483808964,100.9521838844208,103.00245111258938,2010-2039,rcp45,Recharge Zone
IPSL-CM5A-LR,111.63190399684026,107.01358753960845,106.63269434024384,109.10610439750485,2010-2039,rcp45,Recharge Zone
IPSL-CM5A-MR,116.76856683323294,105.86620101828872,105.50550837604196,106.57443798982756,2010-2039,rcp45,Recharge Zone
IPSL-CM5B-LR,110.77925579853031,103.95519923118508,102.90851850758035,106.0267026851148,2010-2039,rcp45,Recharge Zone
MIROC-ESM-CHEM,109.82211693287678,111.6369351203461,106.74101372417371,106.87759748629269,2010-2039,rcp45,Recharge Zone
MIROC-ESM,107.5819245303028,107.67374578706766,103.70370760599687,105.2727455766834,2010-2039,rcp45,Recharge Zone
MIROC5,108.36660996484298,108.1958479112488,105.61932156820527,107.29812040402769,2010-2039,rcp45,Recharge Zone
MRI-CGCM3,108.70487943231524,101.92571319484773,102.19493054630506,102.21454652091131,2010-2039,rcp45,Recharge Zone
NorESM1-M,105.44390289738801,106.39855451220936,104.38402034670149,107.32587686944517,2010-2039,rcp45,Recharge Zone
bcc-csm1-1-m,111.04712277983207,107.11594002157388,104.62086204631103,105.01686248827613,2010-2039,rcp45,Contributing Zone
bcc-csm1-1,111.05498998792764,107.38064226631106,106.60688177320804,103.37013737939098,2010-2039,rcp45,Contributing Zone
BNU-ESM,110.54019720750246,104.46643373468314,106.8559637464775,109.56546267439349,2010-2039,rcp45,Contributing Zone
CanESM2,114.15656775397807,107.46382757945531,107.77639723541294,111.2082382308793,2010-2039,rcp45,Contributing Zone
CCSM4,109.90764725260394,106.7572457208011,104.06913557076068,106.49251233342356,2010-2039,rcp45,Contributing Zone
CNRM-CM5,111.00893644715578,105.09725369376935,102.5781612578279,105.3298528565048,2010-2039,rcp45,Contributing Zone
CSIRO-Mk3-6-0,116.81948068564863,107.68783028774223,105.4212437935304,108.46854091148741,2010-2039,rcp45,Contributing Zone
GFDL-ESM2G,118.82763664034488,110.18483610850002,105.96093606845085,107.84607301288744,2010-2039,rcp45,Contributing Zone
GFDL-ESM2M,104.74103580540235,104.14298004475238,104.39491687542943,106.28349171094662,2010-2039,rcp45,Contributing Zone
HadGEM2-CC365,121.27673559188139,106.64611278387962,105.85015271652938,112.40795761541978,2010-2039,rcp45,Contributing Zone
HadGEM2-ES365,114.46213234163079,107.91366371412741,107.29137122914719,110.75004473616639,2010-2039,rcp45,Contributing Zone
inmcm4,104.3521983733102,104.05482917126618,101.06496721927785,103.03690784247462,2010-2039,rcp45,Contributing Zone
IPSL-CM5A-LR,113.01045541892923,107.41725395606736,106.91498444228526,109.72304715567869,2010-2039,rcp45,Contributing Zone
