,Percent_winter,Percent_spring,Percent_summer,Percent_fall,period,rcp,zone
bcc-csm1-1-m,98.15003605117822,86.06294139709722,85.18467813364414,109.98171577509146,2010-2039,rcp45,Recharge Zone
bcc-csm1-1,103.32840725436667,96.78469800218609,77.90418711669672,127.12245487306409,2010-2039,rcp45,Recharge Zone
BNU-ESM,103.44597621645171,101.79356789068936,91.3767832712579,96.78464287726652,2010-2039,rcp45,Recharge Zone
CanESM2,83.38209973424986,92.82999107212366,109.50816281036084,98.04052335483232,2010-2039,rcp45,Recharge Zone
CCSM4,93.15770869074967,94.44508899243958,111.6128709107284,101.76269846646942,2010-2039,rcp45,Recharge Zone
CNRM-CM5,102.50929802576158,101.57160575126541,102.36627942174981,86.48526102108491,2010-2039,rcp45,Recharge Zone
CSIRO-Mk3-6-0,94.20532878191497,94.56849479180858,114.48376911268288,84.43517257833687,2010-2039,rcp45,Recharge Zone
GFDL-ESM2G,78.17430715530485,93.31831437577961,100.05557234337248,84.92752951592394,2010-2039,rcp45,Recharge Zone
GFDL-ESM2M,113.57241838991676,100.17751546127369,98.4134120479098,100.52184252379269,2010-2039,rcp45,Recharge Zone
HadGEM2-CC365,79.87205498480061,96.61761560493149,103.29931529415472,92.79815138093687,2010-2039,rcp45,Recharge Zone
HadGEM2-ES365,89.33456583194572,104.22405698272075,77.1320554211383,99.196262736676,2010-2039,rcp45,Recharge Zone
inmcm4,75.83374374024818,99.90470018691826,109.15638229288649,100.36746900672999,2010-2039,rcp45,Recharge Zone
IPSL-CM5A-LR,85.85004032955943,80.0508474555841,86.71246006512976,96.18434615595257,2010-2039,rcp45,Recharge Zone
IPSL-CM5A-MR,109.95508128557898,114.31983803338261,107.53577257988319,102.9874102770866,2010-2039,rcp45,Recharge Zone
IPSL-CM5B-LR,105.6245938709784,121.75393066365436,108.01841413799511,106.61537853168548,2010-2039,rcp45,Recharge Zone
MIROC-ESM-CHEM,92.14661777551399,93.58463577977217,75.67776424591499,95.1829176365966,2010-2039,rcp45,Recharge Zone
MIROC-ESM,101.46810039153893,109.08450902898879,133.68845092240574,98.92822225190712,2010-2039,rcp45,Recharge Zone
MIROC5,116.27063014314906,105.61885870614769,108.63800395337509,84.80049683894401,2010-2039,rcp45,Recharge Zone
MRI-CGCM3,82.23510359529807,107.16787838709858,105.69234932537113,107.50336932523045,2010-2039,rcp45,Recharge Zone
NorESM1-M,103.33210468625751,104.20611862211582,111.47199037046977,94.10190137051006,2010-2039,rcp45,Recharge Zone
bcc-csm1-1-m,98.71332925032836,86.48892654950873,83.22636079931333,109.89183960760154,2010-2039,rcp45,Contributing Zone
bcc-csm1-1,104.04826115097754,97.58987955720875,76.00311158223283,126.37134389471545,2010-2039,rcp45,Contributing Zone
BNU-ESM,105.40109628592877,103.35641371304789,95.18425685537618,97.43816880267394,2010-2039,rcp45,Contributing Zone
CanESM2,85.27126347357188,92.5971728362189,110.30306405714585,96.5735413209174,2010-2039,rcp45,Contributing Zone
CCSM4,93.54292728428892,95.85671576671265,108.75172752582797,98.59957806297508,2010-2039,rcp45,Contributing Zone
CNRM-CM5,101.70297545827869,104.29452755426209,103.17802899209039,86.05722982354901,2010-2039,rcp45,Contributing Zone
CSIRO-Mk3-6-0,92.07374256492244,97.18848059966099,114.65689476913565,83.97437268185428,2010-2039,rcp45,Contributing Zone
GFDL-ESM2G,77.7405101592595,95.26132044594034,98.54990936178648,86.39943129102332,2010-2039,rcp45,Contributing Zone
GFDL-ESM2M,118.11670019184706,98.87464238865061,100.33272507400575,100.10852782830928,2010-2039,rcp45,Contributing Zone
HadGEM2-CC365,81.53406485950437,94.64940663552014,104.78656306932947,90.97316503434267,2010-2039,rcp45,Contributing Zone
HadGEM2-ES365,90.6359446628261,105.13630904069854,75.36234089687953,98.50746164137202,2010-2039,rcp45,Contributing Zone
inmcm4,76.37935691947688,101.58009641539583,107.99600855492393,100.50438447968855,2010-2039,rcp45,Contributing Zone
IPSL-CM5A-LR,86.22413830464326,80.8965069161222,88.67053775475429,94.11523019879041,2010-2039,rcp45,Contributing Zone
IPSL-CM5A-MR,111.1055729930656,112.384298942576,107.65189053732436,101.16869339292816,2010-2039,rcp45,Contributing Zone
IPSL-CM5B-LR,105.61329532786262,122.71433840096554,109.69300022887339,107.43026089686228,2010-2039,rcp45,Contributing Zone
MIROC-ESM-CHEM,91.04751323413191,94.56789358448013,76.86921370157519,94.31516217691272,2010-2039,rcp45,Contributing Zone
MIROC-ESM,102.98807555991732,109.7145626685242,133.91237187186087,100.27379149523601,2010-2039,rcp45,Contributing Zone
MIROC5,115.76379532612438,104.87362718649813,107.7308820579751,84.33637738389828,2010-2039,rcp45,Contributing Zone
MRI-CGCM3,82.84056594702957,104.76334741952864,105.7122821020311,107.5200143694237,2010-2039,rcp45,Contributing Zone
NorESM1-M,102.88463862777782,105.64473410880528,110.31402344248302,94.39319618475106,2010-2039,rcp45,Contributing Zone
bcc-csm1-1-m,100.05945146925859,91.30927735427271,81.02849283921788,111.9240987370808,2010-2039,rcp85,Recharge Zone
bcc-csm1-1,98.67553690347471,94.44406869226702,122.19976764379734,107.60047004074585,2010-2039,rcp85,Recharge Zone
BNU-ESM,109.6406088808922,93.36203827895778,93.14089931966227,95.82316449698946,2010-2039,rcp85,Recharge Zone
CanESM2,84.21484065470895,111.9210549920854,107.91389897970973,99.67703763731377,2010-2039,rcp85,Recharge Zone
CCSM4,101.89550874496058,101.23127965852248,108.4695182234388,112.05122755548413,2010-2039,rcp85,Recharge Zone
CNRM-CM5,101.49553036428378,105.38478015591866,122.97017389882525,113.81349170045314,2010-2039,rcp85,Recharge Zone
CSIRO-Mk3-6-0,102.14715787260336,88.14985011283788,83.47402084955456,94.751811496402,2010-2039,rcp85,Recharge Zone
GFDL-ESM2G,89.45768099784165,86.92732304176802,100.6738922212029,99.43043021638876,2010-2039,rcp85,Recharge Zone
GFDL-ESM2M,91.45041487393607,98.9454399611071,120.41154427299871,101.55695391798494,2010-2039,rcp85,Recharge Zone
HadGEM2-CC365,99.26357585059293,83.12625829280705,103.4557471177587,106.36798891589055,2010-2039,rcp85,Recharge Zone
HadGEM2-ES365,97.40787472812978,112.06641718248376,79.99372521445522,97.16128355152773,2010-2039,rcp85,Recharge Zone
inmcm4,93.27012667555158,90.77906294492719,97.7221025824641,102.42403757092137,2010-2039,rcp85,Recharge Zone
IPSL-CM5A-LR,80.88279478660338,99.73889991159946,102.85984722793813,103.85801611999513,2010-2039,rcp85,Recharge Zone
IPSL-CM5A-MR,76.66275265738882,93.21673092607492,74.00737815876742,82.04471202721192,2010-2039,rcp85,Recharge Zone
IPSL-CM5B-LR,121.00481585818585,116.04567410547651,108.81560371430261,121.9489038417982,2010-2039,rcp85,Recharge Zone
MIROC-ESM-CHEM,96.12922835943586,109.58504656017438,111.3813036434889,93.17048746352758,2010-2039,rcp85,Recharge Zone
MIROC-ESM,102.85830839276085,101.67671608670592,121.4855199978518,105.88738082320441,2010-2039,rcp85,Recharge Zone
MIROC5,117.69254403538967,106.72651454248623,121.01825897355911,95.18059990055524,2010-2039,rcp85,Recharge Zone
MRI-CGCM3,93.66825931498674,89.3344352512112,121.39549972623715,124.9044832439606,2010-2039,rcp85,Recharge Zone
NorESM1-M,94.84143730159037,94.72562789879998,109.7131420323761,97.97200992424692,2010-2039,rcp85,Recharge Zone
bcc-csm1-1-m,98.6058213695366,91.88950084134322,79.03199630754015,114.56456615871156,2010-2039,rcp85,Contributing Zone
bcc-csm1-1,96.89115450911065,94.133775923536,116.88639296335712,108.44892391894001,2010-2039,rcp85,Contributing Zone
BNU-ESM,109.41683144789309,94.33104502613878,97.3180982262672,96.7999889185245,2010-2039,rcp85,Contributing Zone
CanESM2,86.00869272047564,111.83366832662274,108.26645186362506,96.91831127616581,2010-2039,rcp85,Contributing Zone
CCSM4,101.14480200820985,102.58502092407133,105.72576910775705,108.96938173837253,2010-2039,rcp85,Contributing Zone
CNRM-CM5,101.5283143786987,107.3775740553156,120.79345861819142,112.55753347651645,2010-2039,rcp85,Contributing Zone
CSIRO-Mk3-6-0,101.01106550905308,90.27971660325697,82.78024038422083,93.09707573192138,2010-2039,rcp85,Contributing Zone
GFDL-ESM2G,89.52760455957923,88.59350444414929,100.29008183075783,102.32680727506538,2010-2039,rcp85,Contributing Zone
GFDL-ESM2M,93.0570410126498,99.67022493579168,119.52161609189851,100.70083483069024,2010-2039,rcp85,Contributing Zone
HadGEM2-CC365,99.90051629081105,83.73059995288861,101.36776746054537,104.6747515521314,2010-2039,rcp85,Contributing Zone
HadGEM2-ES365,98.2762761909887,112.57001779698487,77.4441592055726,95.8373910281997,2010-2039,rcp85,Contributing Zone
inmcm4,94.7674821277516,91.7220509444269,95.9234575577471,101.20989664208275,2010-2039,rcp85,Contributing Zone
IPSL-CM5A-LR,79.43647126968222,100.81466255077787,102.29033981575233,103.37092294614787,2010-2039,rcp85,Contributing Zone
IPSL-CM5A-MR,77.9242847576828,95.9772280083951,78.38465530906859,82.01323957813304,2010-2039,rcp85,Contributing Zone
IPSL-CM5B-LR,118.99728216134046,117.24744378876244,109.2616766833608,123.24706317626344,2010-2039,rcp85,Contributing Zone
MIROC-ESM-CHEM,97.1179182692104,110.5545512470739,110.11221686894493,92.65544001406234,2010-2039,rcp85,Contributing Zone
MIROC-ESM,104.90216802792554,103.4030829489052,122.25160941723885,103.9558780695481,2010-2039,rcp85,Contributing Zone
MIROC5,116.59496797900472,106.12230104292541,124.0940263963299,92.9765895261963,2010-2039,rcp85,Contributing Zone
MRI-CGCM3,94.0219780485097,88.38568225444709,118.99845890249097,124.19580321452841,2010-2039,rcp85,Contributing Zone
NorESM1-M,94.28277770112392,93.90333505614602,108.26366195305297,98.37350950115244,2010-2039,rcp85,Contributing Zone
bcc-csm1-1-m,109.98283194804188,91.34866099673012,93.15500655866501,105.57013372798598,2040-2069,rcp45,Recharge Zone
bcc-csm1-1,101.13222235004362,99.8489564301414,85.8485900540157,110.48874277270839,2040-2069,rcp45,Recharge Zone
BNU-ESM,99.12328968648697,106.84283077343567,90.05285865537775,92.60466102708465,2040-2069,rcp45,Recharge Zone
CanESM2,81.00140747788016,90.66719719315952,100.55146927260643,106.74660664841315,2040-2069,rcp45,Recharge Zone
CCSM4,87.21168011338344,90.32627681508848,92.60082458842489,115.74179348116623,2040-2069,rcp45,Recharge Zone
CNRM-CM5,101.02144476750783,101.21377217664309,115.5085849264348,103.4262954489469,2040-2069,rcp45,Recharge Zone
CSIRO-Mk3-6-0,104.07315843881612,109.41732376432749,131.93745977911212,106.3059850346532,2040-2069,rcp45,Recharge Zone
GFDL-ESM2G,86.50461250545149,89.60423396038941,95.14549816144992,85.51163457974918,2040-2069,rcp45,Recharge Zone
GFDL-ESM2M,98.40333060901109,93.85938490608243,117.74649196780696,101.0581651897367,2040-2069,rcp45,Recharge Zone
HadGEM2-CC365,94.50998061070808,110.0062306016827,85.4814284398384,116.2580938848311,2040-2069,rcp45,Recharge Zone
HadGEM2-ES365,103.89886055657449,103.7919713284004,76.16423032348864,89.67747605138942,2040-2069,rcp45,Recharge Zone
inmcm4,93.15395787095379,92.54143278136169,125.07076612593731,102.1882837095913,2040-2069,rcp45,Recharge Zone
IPSL-CM5A-LR,75.49095557480828,82.57927271535846,83.26835500779725,89.79947156011647,2040-2069,rcp45,Recharge Zone
IPSL-CM5A-MR,72.70339182855838,95.06589937043825,71.10307293507886,75.86400804745674,2040-2069,rcp45,Recharge Zone
IPSL-CM5B-LR,102.68936382455156,118.62478888494634,119.77523812363195,115.7643386934315,2040-2069,rcp45,Recharge Zone
MIROC-ESM-CHEM,115.06346233696692,97.85507556085534,87.64882001281885,102.26431811063887,2040-2069,rcp45,Recharge Zone
MIROC-ESM,93.16690730539648,113.89480476863179,122.1715357225948,96.29542896875543,2040-2069,rcp45,Recharge Zone
MIROC5,104.33997006939173,104.80360458989908,126.38119296316846,85.69648260688164,2040-2069,rcp45,Recharge Zone
MRI-CGCM3,82.57116163596385,113.03840526467445,127.30739640539504,116.18427000227524,2040-2069,rcp45,Recharge Zone
NorESM1-M,98.60671362216551,94.74185309701716,86.7356997838341,90.60111780818505,2040-2069,rcp45,Recharge Zone
