,Winter,Spring,Summer,Fall,period,rcp,zone
bcc-csm1-1-m,10.647189260969792,19.935052479303394,27.757102470823785,20.040676371767333,1971-2000,rcp45,Recharge Zone
bcc-csm1-1,10.29406751885186,20.023271264917465,27.788951794225444,20.17633047668109,1971-2000,rcp45,Recharge Zone
BNU-ESM,10.82277198719751,20.1057115034464,27.907508149278577,20.1043711662133,1971-2000,rcp45,Recharge Zone
CanESM2,10.62694404348896,20.049629882795724,27.778312938210355,20.075345454256674,1971-2000,rcp45,Recharge Zone
CCSM4,10.819901761567955,20.205375141387144,27.885420412361032,20.147391041852796,1971-2000,rcp45,Recharge Zone
CNRM-CM5,10.51094631288759,19.88912202123275,27.842071139101833,20.081203599656916,1971-2000,rcp45,Recharge Zone
CSIRO-Mk3-6-0,10.112011873429577,19.82410763431366,27.67357195537789,19.906419069527956,1971-2000,rcp45,Recharge Zone
GFDL-ESM2G,10.53943203102486,19.946654154275056,28.05483903460162,20.02697282912726,1971-2000,rcp45,Recharge Zone
GFDL-ESM2M,10.54714345527005,19.938158829053727,27.661837118827957,19.930529298811408,1971-2000,rcp45,Recharge Zone
HadGEM2-CC365,10.28346166565553,19.978579864635627,27.603085829023087,19.86604044906721,1971-2000,rcp45,Recharge Zone
HadGEM2-ES365,10.191442376296232,19.808678864117912,27.505698472199292,19.78781401740345,1971-2000,rcp45,Recharge Zone
inmcm4,10.569746599614502,19.97428162604849,27.877346999745757,20.013627214499305,1971-2000,rcp45,Recharge Zone
IPSL-CM5A-LR,10.755055554937831,20.23868245656958,28.039053593327836,20.23196615629081,1971-2000,rcp45,Recharge Zone
IPSL-CM5A-MR,10.600017398322821,20.107715352452313,27.879337899350567,20.07154109061364,1971-2000,rcp45,Recharge Zone
IPSL-CM5B-LR,10.543941015802075,20.176881706470017,27.936574088420215,19.894575516055525,1971-2000,rcp45,Recharge Zone
MIROC-ESM-CHEM,10.504550288651709,19.773855073914806,27.80864973978191,20.113158537836618,1971-2000,rcp45,Recharge Zone
MIROC-ESM,10.68910542374064,20.08271693681036,27.6610435498392,19.871115286067493,1971-2000,rcp45,Recharge Zone
MIROC5,10.640111713199088,20.08345311614437,27.838070448059337,20.28561972425943,1971-2000,rcp45,Recharge Zone
MRI-CGCM3,10.456885649309521,20.17720585880283,27.72022978936682,19.872050295371164,1971-2000,rcp45,Recharge Zone
NorESM1-M,10.444875765125921,19.78798654598539,27.71830133733421,19.864675577557236,1971-2000,rcp45,Recharge Zone
bcc-csm1-1-m,10.514067224933084,19.970185579379887,27.77642200510886,20.022654149423328,1950-2005,rcp45,Recharge Zone
bcc-csm1-1,10.533150275122624,19.978046623099598,27.763479539648095,20.0070550730008,1950-2005,rcp45,Recharge Zone
BNU-ESM,10.509154655680117,19.989052865729274,27.774682118008805,20.006955949348164,1950-2005,rcp45,Recharge Zone
CanESM2,10.51946616133634,19.97656174312696,27.777784081436216,20.01252243677547,1950-2005,rcp45,Recharge Zone
CCSM4,10.551328465392245,19.96817462277958,27.796216880722653,19.954066423618507,1950-2005,rcp45,Recharge Zone
CNRM-CM5,10.546030999307513,19.98091286899841,27.7757654742113,19.978697741738568,1950-2005,rcp45,Recharge Zone
CSIRO-Mk3-6-0,10.524573318345444,19.98434593149267,27.777896490791626,19.993887036781054,1950-2005,rcp45,Recharge Zone
GFDL-ESM2G,10.583099064445548,19.976612445647415,27.781272738088692,19.929081223604076,1950-2005,rcp45,Recharge Zone
GFDL-ESM2M,10.560767657851553,19.968959752289397,27.792591477616647,19.95242021205544,1950-2005,rcp45,Recharge Zone
HadGEM2-CC365,10.487012792710841,20.006975951616198,27.772804321835594,20.023627249762065,1950-2005,rcp45,Recharge Zone
HadGEM2-ES365,10.513858932559705,19.99810769894282,27.76135861015273,20.013170791825875,1950-2005,rcp45,Recharge Zone
inmcm4,10.598794784490726,19.97070212546775,27.762716541469757,19.947862492836492,1950-2005,rcp45,Recharge Zone
IPSL-CM5A-LR,10.528535621680735,19.977912237104015,27.777193929305042,19.99627488328773,1950-2005,rcp45,Recharge Zone
IPSL-CM5A-MR,10.505640684849865,19.97724398528893,27.78091299768439,20.001518697544572,1950-2005,rcp45,Recharge Zone
IPSL-CM5B-LR,10.544931449555106,19.979076403386653,27.768801023136685,19.986241098453092,1950-2005,rcp45,Recharge Zone
MIROC-ESM-CHEM,10.562916543543208,19.98233653181006,27.775544761076013,19.96128000841245,1950-2005,rcp45,Recharge Zone
MIROC-ESM,10.550564720593822,19.977069913338482,27.77544017148013,19.96044220941486,1950-2005,rcp45,Recharge Zone
MIROC5,10.52765178037601,19.973957999028475,27.76945860392791,20.023584434674806,1950-2005,rcp45,Recharge Zone
MRI-CGCM3,10.551376548084244,19.987803873583733,27.769836670803976,19.9663935054814,1950-2005,rcp45,Recharge Zone
NorESM1-M,10.496671901867549,19.96962792154741,27.798817738672945,19.997460540237274,1950-2005,rcp45,Recharge Zone
bcc-csm1-1-m,11.702880878139958,21.2671183572129,28.957158301550123,20.99095969873482,2010-2039,rcp45,Recharge Zone
bcc-csm1-1,11.311134696549754,21.41748817289773,29.547182946555193,20.81660077423034,2010-2039,rcp45,Recharge Zone
BNU-ESM,11.826832771999888,20.947842766090762,29.72754588673531,21.900536041175766,2010-2039,rcp45,Recharge Zone
CanESM2,11.986057546880112,21.4456649286953,29.856522132068168,22.168164096685384,2010-2039,rcp45,Recharge Zone
CCSM4,11.80071796633693,21.519760612204795,29.004121836433576,21.406093138093954,2010-2039,rcp45,Recharge Zone
CNRM-CM5,11.562050167940315,20.847207039711453,28.52306243776923,21.08788051876362,2010-2039,rcp45,Recharge Zone
CSIRO-Mk3-6-0,11.617424871565138,21.27045449761359,29.12098150308798,21.47113556548727,2010-2039,rcp45,Recharge Zone
GFDL-ESM2G,12.29136073110031,21.89317415226544,29.66597653136357,21.517091240633555,2010-2039,rcp45,Recharge Zone
GFDL-ESM2M,10.993206590389658,20.724766472664918,28.83087089002546,21.09609649901666,2010-2039,rcp45,Recharge Zone
HadGEM2-CC365,12.237622492217898,21.24875053382965,29.169664750356905,22.208163152829112,2010-2039,rcp45,Recharge Zone
HadGEM2-ES365,11.481644453291407,21.251432400245093,29.4477026609013,21.809168608672636,2010-2039,rcp45,Recharge Zone
inmcm4,10.973495075531426,20.77802970820087,28.1427906052814,20.614526587470532,2010-2039,rcp45,Recharge Zone
IPSL-CM5A-LR,12.006073291895035,21.65814016752447,29.89879831407043,22.0743101161505,2010-2039,rcp45,Recharge Zone
IPSL-CM5A-MR,12.377488400094903,21.287274355212467,29.41423718258435,21.39113211321879,2010-2039,rcp45,Recharge Zone
IPSL-CM5B-LR,11.680499389141536,20.97491757660144,28.749114516165818,21.093562432873835,2010-2039,rcp45,Recharge Zone
MIROC-ESM-CHEM,11.536319501275925,22.074925759657535,29.683234635248006,21.496460623848932,2010-2039,rcp45,Recharge Zone
MIROC-ESM,11.49954532993316,21.623813581677567,28.6855277236927,20.918868638351277,2010-2039,rcp45,Recharge Zone
MIROC5,11.530328360066028,21.729462388870523,29.40238114491931,21.76608867643907,2010-2039,rcp45,Recharge Zone
MRI-CGCM3,11.36714493745699,20.565760974377387,28.328669580519588,20.31212609382105,2010-2039,rcp45,Recharge Zone
NorESM1-M,11.013484659532189,21.05413165199892,28.93347730772297,21.319937250883825,2010-2039,rcp45,Recharge Zone
bcc-csm1-1-m,12.34169063502637,21.452458049719716,29.25783046949119,21.78573376027329,2040-2069,rcp45,Recharge Zone
bcc-csm1-1,11.842100578057515,21.845268097328702,30.097756562178738,21.96642060821618,2040-2069,rcp45,Recharge Zone
BNU-ESM,12.739063481873346,22.366341323144344,30.80919791096103,23.32424015539322,2040-2069,rcp45,Recharge Zone
CanESM2,12.905785460124958,22.75144797073494,30.775301098799158,22.9264296718286,2040-2069,rcp45,Recharge Zone
CCSM4,12.263148111185723,21.894975338608607,29.740954847596754,22.080095865282022,2040-2069,rcp45,Recharge Zone
CNRM-CM5,12.380137782449825,21.578904439095695,29.24125805078885,21.7346735999602,2040-2069,rcp45,Recharge Zone
CSIRO-Mk3-6-0,12.558033361687341,22.451556986557623,30.40593700765555,22.15653740536718,2040-2069,rcp45,Recharge Zone
GFDL-ESM2G,12.081331748321208,22.300965496323894,30.28863221340259,22.26814509184208,2040-2069,rcp45,Recharge Zone
GFDL-ESM2M,11.74517249277046,21.74581064187117,29.76284432417367,21.650229835615626,2040-2069,rcp45,Recharge Zone
HadGEM2-CC365,13.518412121046762,22.322708021704532,30.241074042220415,23.025499861143302,2040-2069,rcp45,Recharge Zone
HadGEM2-ES365,13.179382061833415,22.905195943822594,30.32137446414853,23.074076921646306,2040-2069,rcp45,Recharge Zone
inmcm4,11.69888753878051,21.338768479379993,28.43025264532981,21.09453541613825,2040-2069,rcp45,Recharge Zone
IPSL-CM5A-LR,12.628697701145832,22.685701292565057,30.890104923802976,22.846755151793666,2040-2069,rcp45,Recharge Zone
IPSL-CM5A-MR,13.443450854790289,22.763630588732678,31.19054326875595,23.004367066210246,2040-2069,rcp45,Recharge Zone
IPSL-CM5B-LR,11.932551769777236,21.314432304175504,29.474234494360225,21.94130490183197,2040-2069,rcp45,Recharge Zone
MIROC-ESM-CHEM,12.79921005710536,23.071635162279836,30.634682730597696,22.55437590476981,2040-2069,rcp45,Recharge Zone
MIROC-ESM,12.409606467443277,23.209447916171943,30.039159941356516,22.251533114842406,2040-2069,rcp45,Recharge Zone
MIROC5,13.185048096201522,22.84525060991945,30.150995069365575,22.596818078859208,2040-2069,rcp45,Recharge Zone
MRI-CGCM3,11.704458917831447,21.315094399837655,29.42338174509085,20.881472098140517,2040-2069,rcp45,Recharge Zone
NorESM1-M,12.715321483368008,22.458470519566244,30.499463057081172,22.516409640382346,2040-2069,rcp45,Recharge Zone
bcc-csm1-1-m,11.666042934237876,22.170056853843125,29.76729243393073,22.105955267882887,2070-2099,rcp45,Recharge Zone
bcc-csm1-1,11.77047444540822,21.968938446034407,30.168120211748334,22.35701174340902,2070-2099,rcp45,Recharge Zone
BNU-ESM,13.048924866555732,23.39517283507035,31.500102001786022,23.84978825601204,2070-2099,rcp45,Recharge Zone
CanESM2,13.345185489660446,23.161831990644263,31.080657848264575,23.673796096005287,2070-2099,rcp45,Recharge Zone
CCSM4,12.942051991496923,22.511882712722507,30.207161058545513,22.498860171892932,2070-2099,rcp45,Recharge Zone
CNRM-CM5,13.048439373770147,22.365163197175537,29.52653271797938,22.026579119480466,2070-2099,rcp45,Recharge Zone
CSIRO-Mk3-6-0,12.989941561962901,22.952368779478014,31.16357047553537,22.94367815786848,2070-2099,rcp45,Recharge Zone
GFDL-ESM2G,11.802398328065216,22.539572129559193,30.761374332527673,22.308070698618405,2070-2099,rcp45,Recharge Zone
GFDL-ESM2M,12.031563326842637,21.527173749195867,29.93787015325187,21.94324869110685,2070-2099,rcp45,Recharge Zone
HadGEM2-CC365,13.587928275779918,23.03648587706097,30.636964641430033,24.186754842670734,2070-2099,rcp45,Recharge Zone
HadGEM2-ES365,13.81208768702395,22.954502452675936,30.626486889694604,23.293470527638426,2070-2099,rcp45,Recharge Zone
inmcm4,12.107429681196807,21.669849832190682,28.656082584397932,21.495812335995485,2070-2099,rcp45,Recharge Zone
IPSL-CM5A-LR,13.313093337491416,22.997548443592812,31.376209717844596,23.243861070618525,2070-2099,rcp45,Recharge Zone
IPSL-CM5A-MR,14.133331338643266,23.533375381689822,31.512537968997968,23.306087055791462,2070-2099,rcp45,Recharge Zone
IPSL-CM5B-LR,12.849256949191409,21.84590214422697,29.793182798060865,22.302906624078698,2070-2099,rcp45,Recharge Zone
MIROC-ESM-CHEM,13.27495459032774,23.56498237210123,31.07133040620656,23.502118741295245,2070-2099,rcp45,Recharge Zone
MIROC-ESM,13.250275127087702,23.981616297500246,30.912940233247582,22.747225316567132,2070-2099,rcp45,Recharge Zone
MIROC5,13.109822519052308,23.482820194485832,30.63614686926756,22.9644089735043,2070-2099,rcp45,Recharge Zone
MRI-CGCM3,11.881640430617328,21.49306532320561,29.71834690277856,21.15836688749505,2070-2099,rcp45,Recharge Zone
NorESM1-M,13.385759759048083,22.897902666207166,30.357477016435404,22.567145317219637,2070-2099,rcp45,Recharge Zone
bcc-csm1-1-m,10.647189260969792,19.935052479303394,27.757102470823785,20.040676371767333,1971-2000,rcp85,Recharge Zone
bcc-csm1-1,10.29406751885186,20.023271264917465,27.788951794225444,20.17633047668109,1971-2000,rcp85,Recharge Zone
BNU-ESM,10.82277198719751,20.1057115034464,27.907508149278577,20.1043711662133,1971-2000,rcp85,Recharge Zone
CanESM2,10.62694404348896,20.049629882795724,27.778312938210355,20.075345454256674,1971-2000,rcp85,Recharge Zone
CCSM4,10.819901761567955,20.205375141387144,27.885420412361032,20.147391041852796,1971-2000,rcp85,Recharge Zone
CNRM-CM5,10.51094631288759,19.88912202123275,27.842071139101833,20.081203599656916,1971-2000,rcp85,Recharge Zone
CSIRO-Mk3-6-0,10.112011873429577,19.82410763431366,27.67357195537789,19.906419069527956,1971-2000,rcp85,Recharge Zone
GFDL-ESM2G,10.53943203102486,19.946654154275056,28.05483903460162,20.02697282912726,1971-2000,rcp85,Recharge Zone
GFDL-ESM2M,10.54714345527005,19.938158829053727,27.661837118827957,19.930529298811408,1971-2000,rcp85,Recharge Zone
