,Winter,Spring,Summer,Fall,period,rcp,zone
bcc-csm1-1-m,4.260912192856145,8.170916295464904,9.38717836408401,8.13648580163993,1971-2000,rcp45,Recharge Zone
bcc-csm1-1,4.591352387384674,7.5167067854472265,8.607602968497465,7.769879584234964,1971-2000,rcp45,Recharge Zone
BNU-ESM,4.392601472290547,8.320013616057835,7.811846894583212,7.808897052831474,1971-2000,rcp45,Recharge Zone
CanESM2,4.165369171192949,7.898117785478642,8.370216223725143,7.631999207797299,1971-2000,rcp45,Recharge Zone
CCSM4,4.129583036574684,8.428500675261654,8.659124637679943,7.757987117226856,1971-2000,rcp45,Recharge Zone
CNRM-CM5,4.379625868267773,7.877652451818513,8.372958693173299,7.356673222366184,1971-2000,rcp45,Recharge Zone
CSIRO-Mk3-6-0,4.406933104915214,7.563131774591342,8.46467060266338,8.651098675691644,1971-2000,rcp45,Recharge Zone
GFDL-ESM2G,3.949632842384,7.433008553338905,8.294332701713673,8.256892113116669,1971-2000,rcp45,Recharge Zone
GFDL-ESM2M,4.2157249141307105,7.983909565132112,8.929623641154603,8.241089352052729,1971-2000,rcp45,Recharge Zone
HadGEM2-CC365,4.3657107745684876,7.938287345318791,8.963801891120374,7.408362187995756,1971-2000,rcp45,Recharge Zone
HadGEM2-ES365,4.621997975455592,7.426477216335305,9.18018265276032,8.134522058758051,1971-2000,rcp45,Recharge Zone
inmcm4,4.660228420328099,7.71128735018586,8.56295820239691,8.203362785827375,1971-2000,rcp45,Recharge Zone
IPSL-CM5A-LR,4.284597304772889,7.483365519619074,8.337261786315043,7.757762573232864,1971-2000,rcp45,Recharge Zone
IPSL-CM5A-MR,4.15812952776406,6.83460908840345,8.795591494893442,7.721129413904905,1971-2000,rcp45,Recharge Zone
IPSL-CM5B-LR,4.354613730531129,7.269997853887103,8.131865812559564,8.007421906921907,1971-2000,rcp45,Recharge Zone
MIROC-ESM-CHEM,4.1289978192571875,7.8396157308964325,8.604504886094304,7.958694780091742,1971-2000,rcp45,Recharge Zone
MIROC-ESM,4.160831118174058,7.975479422647604,8.29322428680057,8.625871576173935,1971-2000,rcp45,Recharge Zone
MIROC5,3.9041132031126495,7.167128933108762,8.244812939260317,7.181979550491101,1971-2000,rcp45,Recharge Zone
MRI-CGCM3,4.329600877860052,7.5084455057233335,8.659149396128269,7.607723885224334,1971-2000,rcp45,Recharge Zone
